sku,zone_id,volume_m3,priority,near_loading_dock,distance,scenario
ITM0000,ZONE-H,0.0216384,0.0,True,1,C80_D80
ITM0001,ZONE-H,0.13737600000000003,0.0,True,1,C80_D80
ITM0002,ZONE-A,0.103968,0.0,False,10,C80_D80
ITM0003,ZONE-G,0.0248952,0.0,False,10,C80_D80
ITM0004,ZONE-B,0.21184799999999998,20.0,True,1,C80_D80
ITM0005,ZONE-H,0.012117600000000001,0.0,True,1,C80_D80
ITM0006,ZONE-G,0.01296,0.0,False,10,C80_D80
ITM0007,ZONE-H,0.1929536,98.0,True,1,C80_D80
ITM0008,ZONE-C,0.40784640000000005,0.0,True,1,C80_D80
ITM0009,ZONE-H,0.110664,0.0,True,1,C80_D80
ITM0010,ZONE-H,0.08683199999999999,0.0,True,1,C80_D80
ITM0011,ZONE-J,0.003168,0.0,True,1,C80_D80
ITM0012,ZONE-C,0.155952,44.0,True,1,C80_D80
ITM0013,ZONE-A,0.4429056,0.0,False,10,C80_D80
ITM0014,ZONE-H,0.0168168,0.0,True,1,C80_D80
ITM0015,ZONE-H,0.10467839999999999,0.0,True,1,C80_D80
ITM0016,ZONE-H,0.0243376,0.0,True,1,C80_D80
ITM0017,ZONE-D,0.008096,86.0,True,1,C80_D80
ITM0018,ZONE-J,0.182736,42.0,True,1,C80_D80
ITM0019,ZONE-H,0.062092800000000004,87.0,True,1,C80_D80
ITM0020,ZONE-B,0.19998720000000003,0.0,True,1,C80_D80
ITM0021,ZONE-C,0.08268,91.0,True,1,C80_D80
ITM0022,ZONE-J,0.021964,0.0,True,1,C80_D80
ITM0023,ZONE-J,0.016368,0.0,True,1,C80_D80
ITM0024,ZONE-H,0.36251999999999995,136.0,True,1,C80_D80
ITM0025,ZONE-G,0.266928,0.0,False,10,C80_D80
ITM0026,ZONE-H,0.136188,0.0,True,1,C80_D80
ITM0027,ZONE-J,0.21216,64.0,True,1,C80_D80
ITM0028,ZONE-B,0.1717248,15.0,True,1,C80_D80
ITM0029,ZONE-B,0.2448,179.0,True,1,C80_D80
ITM0030,ZONE-J,0.22176,0.0,True,1,C80_D80
ITM0031,ZONE-H,0.0482816,0.0,True,1,C80_D80
ITM0032,ZONE-H,0.11278079999999999,0.0,True,1,C80_D80
ITM0033,ZONE-C,0.2477048,44.0,True,1,C80_D80
ITM0034,ZONE-D,0.14742,0.0,True,1,C80_D80
ITM0035,ZONE-C,0.165376,0.0,True,1,C80_D80
ITM0036,ZONE-J,0.047560000000000005,0.0,True,1,C80_D80
ITM0037,ZONE-H,0.0218736,109.0,True,1,C80_D80
ITM0038,ZONE-J,0.0224432,0.0,True,1,C80_D80
ITM0039,ZONE-H,0.034300000000000004,10.0,True,1,C80_D80
ITM0040,ZONE-D,0.046149600000000006,0.0,True,1,C80_D80
ITM0041,ZONE-G,0.0056848,0.0,False,10,C80_D80
ITM0042,ZONE-H,0.2999808,0.0,True,1,C80_D80
ITM0043,ZONE-G,0.0379776,0.0,False,10,C80_D80
ITM0044,ZONE-C,0.06552000000000001,17.0,True,1,C80_D80
ITM0045,ZONE-H,0.10352159999999999,0.0,True,1,C80_D80
ITM0046,ZONE-H,0.059443199999999995,0.0,True,1,C80_D80
ITM0047,ZONE-C,0.036848,94.0,True,1,C80_D80
ITM0048,ZONE-B,0.11762639999999999,45.0,True,1,C80_D80
ITM0049,ZONE-B,0.22200000000000003,32.0,True,1,C80_D80
ITM0050,ZONE-C,0.0689208,0.0,True,1,C80_D80
ITM0051,ZONE-H,0.102168,0.0,True,1,C80_D80
ITM0052,ZONE-H,0.106392,0.0,True,1,C80_D80
ITM0053,ZONE-C,0.06977280000000001,12.0,True,1,C80_D80
ITM0054,ZONE-D,0.0446896,45.0,True,1,C80_D80
ITM0055,ZONE-J,0.358904,61.0,True,1,C80_D80
ITM0056,ZONE-H,0.5225472,0.0,True,1,C80_D80
ITM0057,ZONE-B,0.21812,110.0,True,1,C80_D80
ITM0058,ZONE-A,0.24003839999999999,0.0,False,10,C80_D80
ITM0059,ZONE-H,0.0108,118.0,True,1,C80_D80
ITM0060,ZONE-I,0.080784,0.0,False,10,C80_D80
ITM0061,ZONE-J,0.02256,95.0,True,1,C80_D80
ITM0062,ZONE-D,0.022632,0.0,True,1,C80_D80
ITM0063,ZONE-H,0.072324,151.0,True,1,C80_D80
ITM0064,ZONE-D,0.02688,0.0,True,1,C80_D80
ITM0065,ZONE-H,0.3162,16.0,True,1,C80_D80
ITM0066,ZONE-H,0.102272,0.0,True,1,C80_D80
ITM0067,ZONE-C,0.0135432,43.0,True,1,C80_D80
ITM0068,ZONE-D,0.20900159999999998,70.0,True,1,C80_D80
ITM0069,ZONE-H,0.1092832,90.0,True,1,C80_D80
ITM0070,ZONE-I,0.218736,0.0,False,10,C80_D80
ITM0071,ZONE-D,0.4057792,138.0,True,1,C80_D80
ITM0072,ZONE-A,0.0554368,0.0,False,10,C80_D80
ITM0073,ZONE-D,0.262416,0.0,True,1,C80_D80
ITM0074,ZONE-B,0.1737984,57.0,True,1,C80_D80
ITM0075,ZONE-H,0.027412,167.0,True,1,C80_D80
ITM0076,ZONE-J,0.05045039999999999,75.0,True,1,C80_D80
ITM0077,ZONE-H,0.080808,0.0,True,1,C80_D80
ITM0078,ZONE-J,0.205824,45.0,True,1,C80_D80
ITM0079,ZONE-H,0.023064,0.0,True,1,C80_D80
ITM0080,ZONE-J,0.05544,0.0,True,1,C80_D80
ITM0081,ZONE-J,0.010416,0.0,True,1,C80_D80
ITM0082,ZONE-J,0.07904,119.0,True,1,C80_D80
ITM0083,ZONE-J,0.039744,78.0,True,1,C80_D80
ITM0084,ZONE-I,0.034960000000000005,0.0,False,10,C80_D80
ITM0085,ZONE-D,0.2272032,92.0,True,1,C80_D80
ITM0086,ZONE-D,0.030576,16.0,True,1,C80_D80
ITM0087,ZONE-I,0.043848,0.0,False,10,C80_D80
ITM0088,ZONE-D,0.26634240000000003,86.0,True,1,C80_D80
ITM0089,ZONE-H,0.037900800000000005,0.0,True,1,C80_D80
ITM0090,ZONE-B,0.1009008,88.0,True,1,C80_D80
ITM0091,ZONE-D,0.0940032,0.0,True,1,C80_D80
ITM0092,ZONE-C,0.0627264,88.0,True,1,C80_D80
ITM0093,ZONE-D,0.0270816,83.0,True,1,C80_D80
ITM0094,ZONE-J,0.3873792,13.0,True,1,C80_D80
ITM0095,ZONE-H,0.10951200000000001,36.0,True,1,C80_D80
ITM0096,ZONE-H,0.0496944,0.0,True,1,C80_D80
ITM0097,ZONE-A,0.03348,0.0,False,10,C80_D80
ITM0098,ZONE-H,0.1128448,0.0,True,1,C80_D80
ITM0099,ZONE-H,0.2685664,0.0,True,1,C80_D80
ITM0100,ZONE-G,0.06912,0.0,False,10,C80_D80
ITM0101,ZONE-H,0.1836344,0.0,True,1,C80_D80
ITM0102,ZONE-D,0.1373008,0.0,True,1,C80_D80
ITM0103,ZONE-B,0.181384,92.0,True,1,C80_D80
ITM0104,ZONE-B,0.03888,0.0,True,1,C80_D80
ITM0105,ZONE-D,0.181056,86.0,True,1,C80_D80
ITM0106,ZONE-H,0.0894784,83.0,True,1,C80_D80
ITM0107,ZONE-C,0.13524,82.0,True,1,C80_D80
ITM0108,ZONE-A,0.014872,0.0,False,10,C80_D80
ITM0109,ZONE-J,0.023936,0.0,True,1,C80_D80
ITM0110,ZONE-D,0.0856128,0.0,True,1,C80_D80
ITM0111,ZONE-H,0.180264,6.0,True,1,C80_D80
ITM0112,ZONE-A,0.1001312,0.0,False,10,C80_D80
ITM0113,ZONE-H,0.16336320000000001,0.0,True,1,C80_D80
ITM0114,ZONE-H,0.03617600000000001,0.0,True,1,C80_D80
ITM0115,ZONE-I,0.08225280000000001,0.0,False,10,C80_D80
ITM0116,ZONE-G,0.19008,0.0,False,10,C80_D80
ITM0117,ZONE-C,0.0287232,49.0,True,1,C80_D80
ITM0118,ZONE-G,0.0427392,0.0,False,10,C80_D80
ITM0119,ZONE-D,0.17136,0.0,True,1,C80_D80
ITM0120,ZONE-J,0.043848,0.0,True,1,C80_D80
ITM0121,ZONE-D,0.0484288,92.0,True,1,C80_D80
ITM0122,ZONE-J,0.125504,57.0,True,1,C80_D80
ITM0123,ZONE-D,0.32438720000000004,0.0,True,1,C80_D80
ITM0124,ZONE-C,0.20462400000000003,179.0,True,1,C80_D80
ITM0125,ZONE-H,0.11272800000000001,0.0,True,1,C80_D80
ITM0126,ZONE-C,0.007238400000000001,35.0,True,1,C80_D80
ITM0127,ZONE-H,0.15272,0.0,True,1,C80_D80
ITM0128,ZONE-D,0.010296,3.0,True,1,C80_D80
ITM0129,ZONE-H,0.0504832,0.0,True,1,C80_D80
ITM0130,ZONE-A,0.06800640000000001,0.0,False,10,C80_D80
ITM0131,ZONE-C,0.0094248,68.0,True,1,C80_D80
ITM0132,ZONE-H,0.100536,99.0,True,1,C80_D80
ITM0133,ZONE-J,0.31797919999999996,0.0,True,1,C80_D80
ITM0134,ZONE-D,0.158304,0.0,True,1,C80_D80
ITM0135,ZONE-B,0.291456,140.0,True,1,C80_D80
ITM0136,ZONE-H,0.07854,61.0,True,1,C80_D80
ITM0137,ZONE-J,0.114048,87.0,True,1,C80_D80
ITM0138,ZONE-D,0.213624,62.0,True,1,C80_D80
ITM0139,ZONE-G,0.07257599999999999,0.0,False,10,C80_D80
ITM0140,ZONE-D,0.043788,19.0,True,1,C80_D80
ITM0141,ZONE-H,0.0667392,0.0,True,1,C80_D80
ITM0142,ZONE-A,0.132192,0.0,False,10,C80_D80
ITM0143,ZONE-G,0.1585488,0.0,False,10,C80_D80
ITM0144,ZONE-H,0.044335200000000005,0.0,True,1,C80_D80
ITM0145,ZONE-C,0.025401600000000003,76.0,True,1,C80_D80
ITM0146,ZONE-D,0.0312984,66.0,True,1,C80_D80
ITM0147,ZONE-J,0.0677376,56.0,True,1,C80_D80
ITM0148,ZONE-H,0.02448,0.0,True,1,C80_D80
ITM0149,ZONE-I,0.027552,0.0,False,10,C80_D80
ITM0150,ZONE-H,0.050960000000000005,0.0,True,1,C80_D80
ITM0151,ZONE-H,0.0083776,0.0,True,1,C80_D80
ITM0152,ZONE-J,0.2172672,0.0,True,1,C80_D80
ITM0153,ZONE-H,0.0248064,0.0,True,1,C80_D80
ITM0154,ZONE-I,0.09752,0.0,False,10,C80_D80
ITM0155,ZONE-A,0.05888,0.0,False,10,C80_D80
ITM0156,ZONE-G,0.0253344,0.0,False,10,C80_D80
ITM0157,ZONE-H,0.025907200000000002,0.0,True,1,C80_D80
ITM0158,ZONE-D,0.055384,49.0,True,1,C80_D80
ITM0159,ZONE-I,0.1114464,0.0,False,10,C80_D80
ITM0160,ZONE-C,0.35005600000000003,84.0,True,1,C80_D80
ITM0161,ZONE-C,0.007040000000000001,0.0,True,1,C80_D80
ITM0162,ZONE-D,0.026128000000000002,8.0,True,1,C80_D80
ITM0163,ZONE-H,0.28659840000000003,23.0,True,1,C80_D80
ITM0164,ZONE-C,0.011776000000000002,101.0,True,1,C80_D80
ITM0165,ZONE-H,0.09172799999999999,0.0,True,1,C80_D80
ITM0166,ZONE-H,0.37319040000000003,0.0,True,1,C80_D80
ITM0167,ZONE-A,0.058449600000000004,0.0,False,10,C80_D80
ITM0168,ZONE-H,0.4125696,0.0,True,1,C80_D80
ITM0169,ZONE-H,0.18370560000000002,0.0,True,1,C80_D80
ITM0170,ZONE-J,0.1284192,68.0,True,1,C80_D80
ITM0171,ZONE-H,0.042624,0.0,True,1,C80_D80
ITM0172,ZONE-D,0.13283999999999999,85.0,True,1,C80_D80
ITM0173,ZONE-G,0.0885632,0.0,False,10,C80_D80
ITM0174,ZONE-G,0.020675199999999998,0.0,False,10,C80_D80
ITM0175,ZONE-D,0.021785600000000002,24.0,True,1,C80_D80
ITM0176,ZONE-G,0.139552,0.0,False,10,C80_D80
ITM0177,ZONE-H,0.05610000000000001,0.0,True,1,C80_D80
ITM0178,ZONE-H,0.046644000000000005,0.0,True,1,C80_D80
ITM0179,ZONE-H,0.025272000000000003,0.0,True,1,C80_D80
ITM0180,ZONE-B,0.025401600000000003,78.0,True,1,C80_D80
ITM0181,ZONE-H,0.030617600000000002,40.0,True,1,C80_D80
ITM0182,ZONE-C,0.14210560000000003,67.0,True,1,C80_D80
ITM0183,ZONE-H,0.09564800000000001,0.0,True,1,C80_D80
ITM0184,ZONE-I,0.07128,0.0,False,10,C80_D80
ITM0185,ZONE-A,0.0457216,0.0,False,10,C80_D80
ITM0186,ZONE-C,0.34437120000000004,177.0,True,1,C80_D80
ITM0187,ZONE-H,0.0635904,0.0,True,1,C80_D80
ITM0188,ZONE-B,0.1230336,121.0,True,1,C80_D80
ITM0189,ZONE-B,0.06128719999999999,84.0,True,1,C80_D80
ITM0190,ZONE-D,0.023104,0.0,True,1,C80_D80
ITM0191,ZONE-D,0.083232,46.0,True,1,C80_D80
ITM0192,ZONE-H,0.01672,84.0,True,1,C80_D80
ITM0193,ZONE-I,0.023441600000000003,0.0,False,10,C80_D80
ITM0194,ZONE-H,0.077952,0.0,True,1,C80_D80
ITM0195,ZONE-H,0.0323,0.0,True,1,C80_D80
ITM0196,ZONE-H,0.0297024,24.0,True,1,C80_D80
ITM0197,ZONE-B,0.32639999999999997,0.0,True,1,C80_D80
ITM0198,ZONE-D,0.005632000000000001,0.0,True,1,C80_D80
ITM0199,ZONE-H,0.19118880000000002,84.0,True,1,C80_D80
ITM0200,ZONE-D,0.07533600000000001,0.0,True,1,C80_D80
ITM0201,ZONE-H,0.25534080000000003,44.0,True,1,C80_D80
ITM0202,ZONE-J,0.019536,0.0,True,1,C80_D80
ITM0203,ZONE-J,0.015382399999999997,0.0,True,1,C80_D80
ITM0204,ZONE-H,0.1161216,0.0,True,1,C80_D80
ITM0205,ZONE-B,0.186796,39.0,True,1,C80_D80
ITM0206,ZONE-D,0.0847872,116.0,True,1,C80_D80
ITM0207,ZONE-A,0.035728,0.0,False,10,C80_D80
ITM0208,ZONE-C,0.11922880000000001,62.0,True,1,C80_D80
ITM0209,ZONE-H,0.08122399999999999,0.0,True,1,C80_D80
ITM0210,ZONE-H,0.1975504,0.0,True,1,C80_D80
ITM0211,ZONE-H,0.4599936,0.0,True,1,C80_D80
ITM0212,ZONE-J,0.028199999999999996,79.0,True,1,C80_D80
ITM0213,ZONE-H,0.22568000000000002,38.0,True,1,C80_D80
ITM0214,ZONE-H,0.0401128,66.0,True,1,C80_D80
ITM0215,ZONE-D,0.1465776,0.0,True,1,C80_D80
ITM0216,ZONE-J,0.0122672,0.0,True,1,C80_D80
ITM0217,ZONE-H,0.274536,0.0,True,1,C80_D80
ITM0218,ZONE-H,0.046368,0.0,True,1,C80_D80
ITM0219,ZONE-H,0.11845920000000001,51.0,True,1,C80_D80
ITM0220,ZONE-H,0.032479999999999995,77.0,True,1,C80_D80
ITM0221,ZONE-B,0.026265599999999997,60.0,True,1,C80_D80
ITM0222,ZONE-B,0.01296,15.0,True,1,C80_D80
ITM0223,ZONE-H,0.0493856,38.0,True,1,C80_D80
ITM0224,ZONE-B,0.1577472,61.0,True,1,C80_D80
ITM0225,ZONE-J,0.146608,0.0,True,1,C80_D80
ITM0226,ZONE-B,0.1297296,56.0,True,1,C80_D80
ITM0227,ZONE-B,0.10258080000000001,0.0,True,1,C80_D80
ITM0228,ZONE-H,0.134688,79.0,True,1,C80_D80
ITM0229,ZONE-G,0.21534239999999996,0.0,False,10,C80_D80
ITM0230,ZONE-A,0.0584136,0.0,False,10,C80_D80
ITM0231,ZONE-A,0.0652384,0.0,False,10,C80_D80
ITM0232,ZONE-G,0.1445344,0.0,False,10,C80_D80
ITM0233,ZONE-D,0.34826880000000005,0.0,True,1,C80_D80
ITM0234,ZONE-H,0.10233600000000001,88.0,True,1,C80_D80
ITM0235,ZONE-H,0.09596160000000001,0.0,True,1,C80_D80
ITM0236,ZONE-D,0.06022720000000001,42.0,True,1,C80_D80
ITM0237,ZONE-B,0.21526239999999996,66.0,True,1,C80_D80
ITM0238,ZONE-D,0.10570560000000001,49.0,True,1,C80_D80
ITM0239,ZONE-E,0.0145152,0.0,False,10,C80_D80
ITM0240,ZONE-D,0.1768,0.0,True,1,C80_D80
ITM0241,ZONE-H,0.019136,77.0,True,1,C80_D80
ITM0242,ZONE-H,0.036344,0.0,True,1,C80_D80
ITM0243,ZONE-H,0.09185280000000001,0.0,True,1,C80_D80
ITM0244,ZONE-G,0.19092720000000002,0.0,False,10,C80_D80
ITM0245,ZONE-B,0.06858239999999999,114.0,True,1,C80_D80
ITM0246,ZONE-J,0.091884,0.0,True,1,C80_D80
ITM0247,ZONE-J,0.12349439999999999,34.0,True,1,C80_D80
ITM0248,ZONE-H,0.163944,0.0,True,1,C80_D80
ITM0249,ZONE-G,0.142008,0.0,False,10,C80_D80
ITM0250,ZONE-D,0.052688000000000006,0.0,True,1,C80_D80
ITM0251,ZONE-A,0.28150080000000005,0.0,False,10,C80_D80
ITM0252,ZONE-C,0.050292800000000006,252.0,True,1,C80_D80
ITM0253,ZONE-H,0.0434656,89.0,True,1,C80_D80
ITM0254,ZONE-H,0.043519999999999996,0.0,True,1,C80_D80
ITM0255,ZONE-E,0.07881200000000001,0.0,False,10,C80_D80
ITM0256,ZONE-A,0.032011200000000004,0.0,False,10,C80_D80
ITM0257,ZONE-C,0.044172800000000005,0.0,True,1,C80_D80
ITM0258,ZONE-G,0.541728,0.0,False,10,C80_D80
ITM0259,ZONE-H,0.033779199999999995,0.0,True,1,C80_D80
ITM0260,ZONE-I,0.1708992,0.0,False,10,C80_D80
ITM0261,ZONE-H,0.3580416,0.0,True,1,C80_D80
ITM0262,ZONE-D,0.41221120000000006,0.0,True,1,C80_D80
ITM0263,ZONE-B,0.2822688,17.0,True,1,C80_D80
ITM0264,ZONE-J,0.3788928,94.0,True,1,C80_D80
ITM0265,ZONE-H,0.25896,0.0,True,1,C80_D80
ITM0266,ZONE-H,0.0153504,0.0,True,1,C80_D80
ITM0267,ZONE-C,0.05787600000000001,36.0,True,1,C80_D80
ITM0268,ZONE-H,0.0215488,71.0,True,1,C80_D80
ITM0269,ZONE-B,0.037632,70.0,True,1,C80_D80
ITM0270,ZONE-H,0.014565600000000001,0.0,True,1,C80_D80
ITM0271,ZONE-H,0.2157568,0.0,True,1,C80_D80
ITM0272,ZONE-G,0.528768,0.0,False,10,C80_D80
ITM0273,ZONE-J,0.3608064,0.0,True,1,C80_D80
ITM0274,ZONE-H,0.0733824,0.0,True,1,C80_D80
ITM0275,ZONE-D,0.012759999999999999,156.0,True,1,C80_D80
ITM0276,ZONE-H,0.25872,0.0,True,1,C80_D80
ITM0277,ZONE-H,0.0487872,101.0,True,1,C80_D80
ITM0278,ZONE-H,0.015576000000000001,0.0,True,1,C80_D80
ITM0279,ZONE-H,0.0529984,0.0,True,1,C80_D80
ITM0280,ZONE-D,0.031807999999999996,0.0,True,1,C80_D80
ITM0281,ZONE-D,0.053684800000000005,42.0,True,1,C80_D80
ITM0282,ZONE-H,0.053544,169.0,True,1,C80_D80
ITM0283,ZONE-H,0.0398784,0.0,True,1,C80_D80
ITM0284,ZONE-I,0.074784,0.0,False,10,C80_D80
ITM0285,ZONE-A,0.027456000000000005,0.0,False,10,C80_D80
ITM0286,ZONE-B,0.4734576,71.0,True,1,C80_D80
ITM0287,ZONE-J,0.11178239999999999,75.0,True,1,C80_D80
ITM0288,ZONE-H,0.42504000000000003,90.0,True,1,C80_D80
ITM0289,ZONE-H,0.021491200000000002,43.0,True,1,C80_D80
ITM0290,ZONE-G,0.046768,0.0,False,10,C80_D80
ITM0291,ZONE-G,0.22464,0.0,False,10,C80_D80
ITM0292,ZONE-J,0.33403520000000003,0.0,True,1,C80_D80
ITM0293,ZONE-A,0.0178752,0.0,False,10,C80_D80
ITM0294,ZONE-I,0.01008,0.0,False,10,C80_D80
ITM0295,ZONE-B,0.1012928,0.0,True,1,C80_D80
ITM0296,ZONE-A,0.1131792,0.0,False,10,C80_D80
ITM0297,ZONE-B,0.028423999999999998,0.0,True,1,C80_D80
ITM0298,ZONE-H,0.1572432,74.0,True,1,C80_D80
ITM0299,ZONE-H,0.111456,0.0,True,1,C80_D80
ITM0300,ZONE-H,0.047872,80.0,True,1,C80_D80
ITM0301,ZONE-G,0.1119552,0.0,False,10,C80_D80
ITM0302,ZONE-J,0.1717408,25.0,True,1,C80_D80
ITM0303,ZONE-J,0.01092,0.0,True,1,C80_D80
ITM0304,ZONE-D,0.039424,0.0,True,1,C80_D80
ITM0305,ZONE-J,0.2535584,0.0,True,1,C80_D80
ITM0306,ZONE-H,0.5366816,0.0,True,1,C80_D80
ITM0307,ZONE-H,0.0898304,0.0,True,1,C80_D80
ITM0308,ZONE-C,0.054144000000000005,58.0,True,1,C80_D80
