movement_id,item_id,zone_id,movement_type,timestamp
MOV000000,ITM0050,ZONE-A,Restock,2025-04-16
MOV000001,ITM0490,ZONE-J,Reposition,2025-05-14
MOV000002,ITM0340,ZONE-H,Retrieval,2024-12-20
MOV000003,ITM0471,ZONE-B,Restock,2024-07-29
MOV000004,ITM0280,ZONE-F,Restock,2024-01-30
MOV000005,ITM0174,ZONE-I,Retrieval,2025-07-30
MOV000006,ITM0182,ZONE-A,Restock,2024-01-24
MOV000007,ITM0191,ZONE-F,Restock,2024-08-09
MOV000008,ITM0248,ZONE-H,Reposition,2025-02-04
MOV000009,ITM0234,ZONE-J,Reposition,2025-05-26
MOV000010,ITM0082,ZONE-B,Restock,2024-03-28
MOV000011,ITM0092,ZONE-E,Restock,2025-04-09
MOV000012,ITM0372,ZONE-F,Retrieval,2024-02-19
MOV000013,ITM0393,ZONE-E,Reposition,2024-04-12
MOV000014,ITM0311,ZONE-C,Retrieval,2025-01-02
MOV000015,ITM0267,ZONE-D,Restock,2025-05-06
MOV000016,ITM0416,ZONE-G,Retrieval,2025-07-11
MOV000017,ITM0119,ZONE-D,Restock,2024-09-24
MOV000018,ITM0070,ZONE-I,Reposition,2025-01-31
MOV000019,ITM0016,ZONE-J,Reposition,2024-11-15
MOV000020,ITM0252,ZONE-B,Restock,2025-06-03
MOV000021,ITM0444,ZONE-E,Reposition,2025-03-24
MOV000022,ITM0121,ZONE-H,Restock,2025-04-20
MOV000023,ITM0379,ZONE-E,Retrieval,2024-08-27
MOV000024,ITM0009,ZONE-J,Restock,2024-09-14
MOV000025,ITM0286,ZONE-H,Retrieval,2025-01-24
MOV000026,ITM0315,ZONE-H,Restock,2024-12-08
MOV000027,ITM0325,ZONE-I,Reposition,2025-01-21
MOV000028,ITM0272,ZONE-J,Restock,2025-01-28
MOV000029,ITM0305,ZONE-F,Restock,2024-09-26
MOV000030,ITM0292,ZONE-D,Restock,2024-05-28
MOV000031,ITM0209,ZONE-C,Reposition,2025-01-14
MOV000032,ITM0445,ZONE-E,Restock,2024-01-28
MOV000033,ITM0217,ZONE-F,Reposition,2024-05-28
MOV000034,ITM0240,ZONE-C,Restock,2025-02-23
MOV000035,ITM0373,ZONE-B,Retrieval,2024-10-06
